ProducID,Color,Image
OCMineralSurfacedRoll,Desert Tan,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/SH_rolled-roofing_desert-tan.jpg
OCMineralSurfacedRoll,Autumn Brown,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/SH_rolled-roofing_driftwood.jpg
OCWoodStart,Autum,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Carbon,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Chestnut,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Granite,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Juniper,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Mesquite,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Sycamore,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCWoodStart,Timber,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_OC_WS_StartStripPack_cutout.jpg
OCClassicShingles,Autumn Brown,http://www.owenscorning.eu/images/shingles/zoom/classic-autumnbrown.jpg
OCClassicShingles,Desert Tan,http://www.owenscorning.eu/images/shingles/zoom/classic-deserttan.jpg
OCClassicShingles,Estate Gray,http://www.owenscorning.eu/images/shingles/zoom/classic-estategray.jpg
OCClassicShingles,Onyx Black,http://www.owenscorning.eu/images/shingles/zoom/classic-onyxblack.jpg
OCClassicShingles,Driftwood,http://images.lowes.com/product/converted/047563/047563000177.jpg
OCClassicShingles,Aspen Gray,
OCClassicShingles,Amber,
OCBerkshireHipRidge,Sherwood Beige,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_berkshire_hipandridge_451.jpg
OCBerkshireHipRidge,Manchester Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_berkshire_hipandridge_451.jpg
OCBerkshireHipRidge,Concord,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_berkshire_hipandridge_451.jpg
OCBerkshireHipRidge,Colonial,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_berkshire_hipandridge_451.jpg
OCBerkshireHipRidge,Canterbury Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_OC.COM_ONLY_berkshire_hipandridge_451.jpg
OCDevonshire,Castle,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_COLOR_CAROUSEL_Devonshire_Shingle_Swatch_Castle_620x388.jpg
OCDevonshire,Hearth,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_COLOR_CAROUSEL_Devonshire_Shingle_Swatch_Hearth_620x388.jpg
OCDevonshire,Seaside Cliff,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_COLOR_CAROUSEL_Devonshire_Shingle_Swatch_Seaside_Cliff_620x388.jpg
OCDevonshire,Tudor,http://www.owenscorning.com/NetworkShare/Roofing/Images/FOR_COLOR_CAROUSEL_Devonshire_Shingle_Swatch_Tudor_130x82.jpg
OCTruDefOakridge,Brownwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-Brownwood-620x388.jpg
OCTruDefOakridge,Desert Tan,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-DesertTan-620x388.jpg
OCTruDefOakridge,Driftwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-Driftwood-620x388.jpg
OCTruDefOakridge,Estate Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-EstateGray-620x388.jpg
OCTruDefOakridge,Onyx Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-OnyxBlack-620x388.jpg
OCTruDefOakridge,Teak,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefOak-Teak-620x388.jpg
OCTruDefOakridge,Shasta White,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_shasta-white.jpg
OCTruDefOakridge,Chateau Green,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_chateau-green.jpg
OCTruDefOakridge,Williamsburg Gray,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_williamsburg-gray.jpg
OCTruDefOakridge,Twilight Black,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_twilightblack.jpg
OCTruDefOakridge,Peppermill Gray,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_peppermillgray.jpg
OCTruDefOakridge,Flagstone,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_TruDefinition-duration_flagstone.jpg
OCWeatherGuardHipandRidge,Antique Silver,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_antique_silver.jpg
OCWeatherGuardHipandRidge,Brownwood,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_brownwood.jpg
OCWeatherGuardHipandRidge,Desert Tan,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_desert-tan.jpg
OCWeatherGuardHipandRidge,Driftwood,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_driftwood.jpg
OCWeatherGuardHipandRidge,Estate Gray,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_estate-gray.jpg
OCWeatherGuardHipandRidge,Onyx Black,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_weatherguard-hp_onyx-black.jpg
OCWeatherGuardHipandRidge,Teak,http://homecenter-assets.owenscorning.com/static/v35/img/roofing/product/350x350/sh_duration-premium_teak.jpg
OCWEATHERGUARDTRUDEF,Antique Silver,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-AntiqueSilver-620x388.jpg
OCWEATHERGUARDTRUDEF,Brownwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-Brownwood-620x388.jpg
OCWEATHERGUARDTRUDEF,Desert Tan,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-DesertTan-620x388.jpg
OCWEATHERGUARDTRUDEF,Driftwood,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-Driftwood-620x388.jpg
OCWEATHERGUARDTRUDEF,Estate Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-EstateGray-620x388.jpg
OCWEATHERGUARDTRUDEF,Onyx Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-OnyxBlack-620x388.jpg
OCWEATHERGUARDTRUDEF,Teak,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDeWeatherGuard-Teak-620x388.jpg
